nom,date,provincial_coordination_en,ner_json,emotion_json
Ituri,19-05-2026,"A coordination meeting was held with sections. Participation took place in strategic meetings at Governorate, central, and provincial levels. Prioritised activities with budget were shared to central level. Intervention teams were set up and revitalised. Prospecting of a site for ETC installation was conducted.","[{""type"": ""ORG"", ""value"": ""Governorate"", ""score"": 0.435}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9814}]","{""label"": ""neutral"", ""score"": 0.7363}"
Ituri,20-05-2026,"A coordination meeting was chaired by the Deputy Incident Manager, head of the Provincial Health Division of North Kivu (Beni) and Ituri (Bunia). A partner mobilisation meeting was held on alignment with the response plan. The provincial action plan for the EVD incident was developed for the Ituri and North Kivu Provincial Health Divisions.","[{""type"": ""ORG"", ""value"": ""Provincial Health Division"", ""score"": 0.997}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9291}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9907}, {""type"": ""ORG"", ""value"": ""Ituri"", ""score"": 0.6866}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.8459}, {""type"": ""LOC"", ""value"": ""##uni"", ""score"": 0.4664}, {""type"": ""ORG"", ""value"": ""##a"", ""score"": 0.9005}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.8725}, {""type"": ""ORG"", ""value"": ""Ituri"", ""score"": 0.5825}, {""type"": ""LOC"", ""value"": ""North"", ""score"": 0.8917}, {""type"": ""ORG"", ""value"": ""Ki"", ""score"": 0.6467}, {""type"": ""LOC"", ""value"": ""##vu"", ""score"": 0.983}, {""type"": ""ORG"", ""value"": ""Provincial Health Divisions"", ""score"": 0.9144}]","{""label"": ""neutral"", ""score"": 0.7173}"
North-Kivu,20-05-2026,"A coordination meeting was chaired by the Deputy Incident Manager, head of the Provincial Health Division of North Kivu (Beni) and Ituri (Bunia). A partner mobilisation meeting was held on alignment with the response plan. The provincial action plan for the EVD incident was developed for the Ituri and North Kivu Provincial Health Divisions.","[{""type"": ""ORG"", ""value"": ""Provincial Health Division"", ""score"": 0.997}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9291}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9907}, {""type"": ""ORG"", ""value"": ""Ituri"", ""score"": 0.6866}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.8459}, {""type"": ""LOC"", ""value"": ""##uni"", ""score"": 0.4664}, {""type"": ""ORG"", ""value"": ""##a"", ""score"": 0.9005}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.8725}, {""type"": ""ORG"", ""value"": ""Ituri"", ""score"": 0.5825}, {""type"": ""LOC"", ""value"": ""North"", ""score"": 0.8917}, {""type"": ""ORG"", ""value"": ""Ki"", ""score"": 0.6467}, {""type"": ""LOC"", ""value"": ""##vu"", ""score"": 0.983}, {""type"": ""ORG"", ""value"": ""Provincial Health Divisions"", ""score"": 0.9144}]","{""label"": ""neutral"", ""score"": 0.7173}"
Ituri,21-05-2026,"The Deputy Incident Manager and provincial health division heads from North Kivu and Ituri chaired a coordination meeting. A partner meeting aligned the response plan, and a provincial EVD action plan was developed for both divisions. Another meeting refocused the Surveillance pillar’s organization.","[{""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9963}, {""type"": ""LOC"", ""value"": ""It"", ""score"": 0.7598}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.9938}]","{""label"": ""neutral"", ""score"": 0.8991}"
North-Kivu,21-05-2026,"The Deputy Incident Manager and North Kivu/Ituri health division heads chaired a coordination meeting. A partner meeting aligned the response plan, and a provincial EVD action plan was developed for both divisions. A surveillance pillar meeting refocused its organization.","[{""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9929}, {""type"": ""LOC"", ""value"": ""Ituri"", ""score"": 0.865}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.9918}]","{""label"": ""neutral"", ""score"": 0.8922}"
Ituri,22-05-2026,"A coordination meeting was chaired by the Deputy Incident Manager, head of the Provincial Health Division of North Kivu (Beni) and Ituri (Bunia). A partner mobilisation meeting was held on alignment with the response plan. The provincial action plan for the EVD incident was developed for the Ituri and North Kivu Provincial Health Divisions.","[{""type"": ""ORG"", ""value"": ""Provincial Health Division"", ""score"": 0.997}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9291}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9907}, {""type"": ""ORG"", ""value"": ""Ituri"", ""score"": 0.6866}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.8459}, {""type"": ""LOC"", ""value"": ""##uni"", ""score"": 0.4664}, {""type"": ""ORG"", ""value"": ""##a"", ""score"": 0.9005}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.8725}, {""type"": ""ORG"", ""value"": ""Ituri"", ""score"": 0.5825}, {""type"": ""LOC"", ""value"": ""North"", ""score"": 0.8917}, {""type"": ""ORG"", ""value"": ""Ki"", ""score"": 0.6467}, {""type"": ""LOC"", ""value"": ""##vu"", ""score"": 0.983}, {""type"": ""ORG"", ""value"": ""Provincial Health Divisions"", ""score"": 0.9144}]","{""label"": ""neutral"", ""score"": 0.7173}"
North Kivu,22-05-2026,"A coordination meeting was chaired by the Deputy Incident Manager, head of the Provincial Health Division of North Kivu (Beni) and Ituri (Bunia). A partner mobilisation meeting was held on alignment with the response plan. The provincial action plan for the EVD incident was developed for the Ituri and North Kivu Provincial Health Divisions.","[{""type"": ""ORG"", ""value"": ""Provincial Health Division"", ""score"": 0.997}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9291}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9907}, {""type"": ""ORG"", ""value"": ""Ituri"", ""score"": 0.6866}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.8459}, {""type"": ""LOC"", ""value"": ""##uni"", ""score"": 0.4664}, {""type"": ""ORG"", ""value"": ""##a"", ""score"": 0.9005}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.8725}, {""type"": ""ORG"", ""value"": ""Ituri"", ""score"": 0.5825}, {""type"": ""LOC"", ""value"": ""North"", ""score"": 0.8917}, {""type"": ""ORG"", ""value"": ""Ki"", ""score"": 0.6467}, {""type"": ""LOC"", ""value"": ""##vu"", ""score"": 0.983}, {""type"": ""ORG"", ""value"": ""Provincial Health Divisions"", ""score"": 0.9144}]","{""label"": ""neutral"", ""score"": 0.7173}"
North-Kivu,05-06-2026,An Incident Management System (SGI) meeting was held at the Provincial Health Division (DPS) to review the evolution of the epidemic and operational priorities.,"[{""type"": ""MISC"", ""value"": ""Incident"", ""score"": 0.5702}, {""type"": ""ORG"", ""value"": ""Management System"", ""score"": 0.6992}, {""type"": ""ORG"", ""value"": ""S"", ""score"": 0.6154}, {""type"": ""MISC"", ""value"": ""##GI"", ""score"": 0.3791}, {""type"": ""ORG"", ""value"": ""Provincial Health Division"", ""score"": 0.9991}, {""type"": ""ORG"", ""value"": ""DPS"", ""score"": 0.9976}]","{""label"": ""neutral"", ""score"": 0.7575}"
Ituri,06-06-2026,"A total of 134 alerts were raised, 111 were investigated (82.8%, the lowest rate), and 86 were validated. For contact tracing, 4,118 contacts were under follow-up, with 1,779 seen (43.2%). In-depth investigations were conducted around confirmed cases in affected health zones. A total of 210 contacts completed their 21-day follow-up and were discharged.",[],"{""label"": ""neutral"", ""score"": 0.8635}"
North-Kivu,06-06-2026,"A total of 208 alerts were raised, all 208 were investigated (100%), and 30 were validated. For contact tracing, 699 contacts were under follow-up, with 577 seen (82.5%).",[],"{""label"": ""neutral"", ""score"": 0.8792}"
