nom,date,provincial_management_en,ner_json,emotion_json
Ituri,05-06-2026,"Patients in bed on D-1 totaled 236. There were 37 admissions in 24 hours. Discharges included 7 deaths, 5 non-cases/recovered, and 10 escapes. Patients in isolation at the end of the day numbered 251 (83 confirmed, 168 suspected).","[{""type"": ""MISC"", ""value"": ""D - 1"", ""score"": 0.9827}]","{""label"": ""neutral"", ""score"": 0.7682}"
North-Kivu,05-06-2026,"Patients in bed on D-1 totaled 8. There were 7 admissions in 24 hours. There were no discharges (0 deaths, 0 non-cases/recovered, 0 escapes). Patients in isolation at the end of the day numbered 9 (5 confirmed, 4 suspected).","[{""type"": ""MISC"", ""value"": ""D - 1"", ""score"": 0.9825}]","{""label"": ""neutral"", ""score"": 0.7234}"
South-Kivu,05-06-2026,"Patients in bed on D-1 totaled 7. There were 0 admissions in 24 hours. There were no discharges (0 deaths, 0 non-cases/recovered, 0 escapes). Patients in isolation at the end of the day numbered 7 (1 confirmed, 6 suspected).","[{""type"": ""MISC"", ""value"": ""D - 1"", ""score"": 0.9837}]","{""label"": ""neutral"", ""score"": 0.7617}"
Ituri,06-06-2026,"257 start, +29 admits, –26 discharges (7 deaths, 13 recovered, 6 escapes) = 260 (99 confirmed, 161 suspected). MHPSS: new confirmed 6 (22.2%), under follow-up 16 (20.0%); new suspected 9 (31.0%), under follow-up 18 (13.6%). 43 results (14 positive, 32.6%). Also: 9 separated children, 40 CTE companions, 15 PPL, 40 households.",[],"{""label"": ""neutral"", ""score"": 0.7417}"
North-Kivu,06-06-2026,,,
South-Kivu,06-06-2026,"Start 7 → 7 isolated (1 confirmed, 6 suspected). MHPSS: confirmed F/U 3 (100%), suspected F/U 3 (100%), separated children (crèche 3), CTE 6, PPL 6, households 4, dignity kits 1. Additional: confirmed F/U 3 (100%), suspected F/U 878 (100%), separated children (crèche 1), ETC caregivers 12, households 70.","[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9718}]","{""label"": ""neutral"", ""score"": 0.6311}"
Ituri,08-06-2026,"13 deaths, 5 orphanage children non-cases, 3 recoveries (cumulative 22); census 286→266 (106 confirmed, 160 suspected) with +27 admits, –47 discharges; MHPSS: confirmed 9.7%/31.3%, suspected 18.5%/24.1%, crèche 100%, 7 CTE, 14 PPL; lab: 110 results (4 positive, 36.4%).",[],"{""label"": ""neutral"", ""score"": 0.6036}"
North-Kivu,08-06-2026,"Start: 17 patients, +7 admissions, 0 discharges → 24 isolated (6 confirmed, 18 suspected). MHPSS: confirmed under follow-up 6 (100%), suspected under follow-up 28 (100%). Lab: 5 results announced. Also: 10 ETC companions and 16 PPL received MHPSS interventions.","[{""type"": ""ORG"", ""value"": ""ET"", ""score"": 0.8145}]","{""label"": ""neutral"", ""score"": 0.5342}"
South-Kivu,08-06-2026,"Patients in bed on D-1 totaled 7, with 0 admissions and no discharges (0 deaths, 0 non-cases/recovered, 0 escapes, 0 transferred), ending with 7 patients in isolation (1 confirmed, 6 suspected). MHPSS interventions reached 100% of new confirmed cases (1), 100% of confirmed cases under follow-up (5), and 100% of separated children in crèche (4).","[{""type"": ""MISC"", ""value"": ""D - 1"", ""score"": 0.9698}, {""type"": ""ORG"", ""value"": ""M"", ""score"": 0.8513}, {""type"": ""ORG"", ""value"": ""##HPSS"", ""score"": 0.5196}]","{""label"": ""neutral"", ""score"": 0.8236}"
Ituri,09-06-2026,"There were 31 admissions. Deaths totaled 7, recoveries 22, and escapes 9. A total of 237 patients were in isolation (111 confirmed, 126 suspected). The occupancy rate was 75.2%.",[],"{""label"": ""neutral"", ""score"": 0.5101}"
