nom,date,provincial_community_engagement_en,ner_json
Ituri,17-05-2026,Initial sensitisation of community and religious leaders was conducted to counter rumours of a 'mystical disease'. A draft of the Military Governor's message on EVD prevention is being developed. Educational messages on disease prevention were developed by target audience.,"[{""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9606}]"
Ituri,19-05-2026,"56 TB patients and 26 CAC members were sensitized for home visits. The Governor’s EVD message aired via radio, schools, and social media. Advocacy with provincial officials, EPST, Youth, Gender, and traditional healers aimed to stop mask-related school expulsions and mobilize youth/women. Toll-free number 0821419595 was promoted.","[{""type"": ""ORG"", ""value"": ""CA"", ""score"": 0.9431}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.5565}, {""type"": ""ORG"", ""value"": ""EP"", ""score"": 0.8866}, {""type"": ""ORG"", ""value"": ""Gender"", ""score"": 0.5975}]"
Ituri,20-05-2026,"A communication plan and two official messages are underway. Provincial officials and PRESICODESA were briefed on CBS, RCCE, alerts, and feedback. The first rumor analysis meeting was held. Advocacy secured a ban on funeral wakes, reinforced schools' anti-expulsion policy, and engaged the RVA commander.","[{""type"": ""ORG"", ""value"": ""PRESICODESA"", ""score"": 0.7956}, {""type"": ""ORG"", ""value"": ""CBS"", ""score"": 0.9965}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9976}, {""type"": ""ORG"", ""value"": ""RVA"", ""score"": 0.8653}]"
Ituri,22-05-2026,"Advocacy secured mayors’ support in three communes. Nineteen airport chiefs (15M, 4F) were briefed on EVD prevention. Sensitization reached 38 livestock breeders (16F, 22M) and 30 women during a CPS session.","[{""type"": ""MISC"", ""value"": ""EVD"", ""score"": 0.7102}, {""type"": ""ORG"", ""value"": ""CPS"", ""score"": 0.9752}]"
North-Kivu,05-06-2026,"A total of 19,832 people were sensitised. 3,221 households were visited through the involvement of 658 community health workers (RECO). 813 community leaders were committed. 46 community alerts were reported and 1 rumour was clarified. 18 local radios were engaged, with 3 formats produced and broadcast.","[{""type"": ""ORG"", ""value"": ""R"", ""score"": 0.975}, {""type"": ""ORG"", ""value"": ""##ECO"", ""score"": 0.7156}]"
South-Kivu,05-06-2026,"Mass sensitization reached 405 final-year ENAFEP students in Kabunga on EVD prevention and signs. An advocacy meeting in Kahungu village (EVD epicenter) engaged 40 youth, women, school, and religious leaders. Overall, 6,961 people were sensitized and 1,567 households visited.","[{""type"": ""ORG"", ""value"": ""ENAFEP"", ""score"": 0.9624}, {""type"": ""LOC"", ""value"": ""Ka"", ""score"": 0.9949}, {""type"": ""LOC"", ""value"": ""##bunga"", ""score"": 0.8067}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.5879}, {""type"": ""MISC"", ""value"": ""##VD"", ""score"": 0.4062}, {""type"": ""LOC"", ""value"": ""Kahungu"", ""score"": 0.7949}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.9771}]"
Ituri,05-06-2026,"Sensitization reached 45 economic operators (FEC, including 12 women) on EVD prevention at work and home. Support for patient admission at Nyankunde ETC found no resistance to isolation. FARDC personnel in the TSERE operational sector were sensitized during morning parade.","[{""type"": ""ORG"", ""value"": ""F"", ""score"": 0.9971}, {""type"": ""ORG"", ""value"": ""##EC"", ""score"": 0.5899}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9745}, {""type"": ""ORG"", ""value"": ""Nyankunde ETC"", ""score"": 0.9243}, {""type"": ""ORG"", ""value"": ""FARDC"", ""score"": 0.9888}, {""type"": ""ORG"", ""value"": ""T"", ""score"": 0.6719}]"
North-Kivu,06-06-2026,"Nineteen community leaders and CODESA members were briefed on CBS and EVD ownership; health zone managers received RCCE briefings. Seven talks reached 361 people (175F, 186M) from mutuals, youth, motorcyclists, and prayer groups across four health areas. Home visits sensitized 2,454 people (1,232M, 1,222F).","[{""type"": ""ORG"", ""value"": ""CO"", ""score"": 0.9977}, {""type"": ""ORG"", ""value"": ""##DESA"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""CBS"", ""score"": 0.9979}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.9961}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9983}]"
South-Kivu,06-06-2026,Mass sensitisation of 78 people (46 women) was conducted at Katana market on prevention measures and EVD signs. An educational talk was held with 19 motorcycle-taxi drivers at Kavumu centre. Harmonisation of the community-relay briefing module took place.,"[{""type"": ""LOC"", ""value"": ""Katana"", ""score"": 0.9307}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.8804}, {""type"": ""LOC"", ""value"": ""Kavumu"", ""score"": 0.9723}]"
Ituri,06-06-2026,"Forty-two women from three Bunia communes were briefed on EVD prevention, IPC, handwashing, and safe burials. Community feedback cited late safe burials, poor alert handling, low decontamination teams, and inadequate care (especially nutrition) causing escapes. Seven mass sensitizations in seven health zones reached 1,210 people.","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.8903}, {""type"": ""LOC"", ""value"": ""##uni"", ""score"": 0.5419}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9848}, {""type"": ""ORG"", ""value"": ""IP"", ""score"": 0.8494}]"
North-Kivu,07-06-2026,"In Goma, 255 community actors were trained on risk communication, engagement, surveillance, and rumor management; seven rumors were clarified. Feedback covered EVD's existence, origin, masks, vaccines, and ETCs. Also, 45 grassroots leaders and 78 community leaders (45M, 33F) received EVD and alert-reporting briefings.","[{""type"": ""LOC"", ""value"": ""Go"", ""score"": 0.9965}, {""type"": ""LOC"", ""value"": ""##ma"", ""score"": 0.7038}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.7704}, {""type"": ""MISC"", ""value"": ""ET"", ""score"": 0.7586}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9589}]"
South-Kivu,07-06-2026,"Advocacy engaged 40 leaders from six health areas in Katana and Miti-Murhesa health zones to support EVD response. Support was provided to brief 150 community relays on the EVD package, communication techniques, and CREC interventions to break transmission chains. A total of 7 alerts were raised: 4 in Miti-Murhesa HZ and 3 in Katana HZ (including 1 death).","[{""type"": ""LOC"", ""value"": ""Katana"", ""score"": 0.997}, {""type"": ""LOC"", ""value"": ""Mi"", ""score"": 0.9846}, {""type"": ""LOC"", ""value"": ""##ti"", ""score"": 0.9803}, {""type"": ""LOC"", ""value"": ""Murhesa"", ""score"": 0.8376}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.572}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.5022}, {""type"": ""ORG"", ""value"": ""CREC"", ""score"": 0.9723}, {""type"": ""LOC"", ""value"": ""Mi"", ""score"": 0.9547}, {""type"": ""LOC"", ""value"": ""##ti - Murhesa"", ""score"": 0.9182}, {""type"": ""LOC"", ""value"": ""Katana"", ""score"": 0.9915}]"
Ituri,07-06-2026,"At Nyankunde ETC, the Military Governor urged isolation adherence. The INSP Director-General mobilized 17 health zone chiefs and animators for EVD response. Ten mass sessions reached 1,819 people across 7 zones on prevention, safe burials, and alerts. Home visits to 592 households sensitized 3,738 people (1,450M, 2,122F, 65 boys, 101 girls) via 58 relays.","[{""type"": ""ORG"", ""value"": ""Nyankunde ETC"", ""score"": 0.9571}, {""type"": ""ORG"", ""value"": ""INSP"", ""score"": 0.9924}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.8555}]"
North-Kivu,08-06-2026,"13,251 people sensitized on EVD via door-to-door and mass activities. Home visits to 7,589 households (3,200 with two visits + demos) reached 30,356+. Mobilized 974 relays; briefed 212 actors on RCCE, SBC, infodemic. Fifteen alerts (12 validated in 48h, 3 pending); one rumor clarified. Fifty radio stations aired three prevention formats.","[{""type"": ""MISC"", ""value"": ""E"", ""score"": 0.6425}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9982}, {""type"": ""ORG"", ""value"": ""SBC"", ""score"": 0.9946}]"
