nom,date,logistics_en,summary_json
Bunia,30-05-2026,Delivery of 5 tons of medicines (support UG-PDSS). Delivery of demarcation nets to Bunia CME.,"{""summary"": ""Delivery of 5 tons of medicines (support UG-PDSS). Delivery of demarcation nets to Bunia CME.""}"
Rwampara,31-05-2026,"Inauguration and commissioning of the standardised ETC at CME Rwampara, newly rehabilitated.","{""summary"": ""Inauguration and commissioning of the standardised ETC at CME Rwampara, newly rehabilitated.""}"
Bunia,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Rwampara,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones. Delivery of medicines and IPC inputs with support from UG-PDSS.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province to""}"
Mongbalu,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones. Delivery of IPC prevention and control inputs to these health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CD""}"
Bambu,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Aru,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Kilo,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Nizi,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Mangala,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Damas,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Aungba,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Gety,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Komanda,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Lita,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Logo,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Mambasa,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones. Delivery of IPC prevention and control inputs to these health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CD""}"
Rimba,02-06-2026,Official handover of 3 vehicles (government donation) by the Governor of Ituri province to CDPS Ituri. Two vehicles immediately assigned to Rwampara and Nyankunde health zones.,"{""summary"": "" Official handover of 3 vehicles (government donation) by the Governor of Ituri province""}"
Mandima,02-06-2026," ""Delivery of IPC prevention and control inputs to these health zones.""","{""summary"": "" \""Delivery of IPC prevention and control inputs to these health zones.\""""}"
Miti-Murhesa,02-06-2026,"Planned: provision of 2 additional vehicles, installation of Internet kit at Miti-Murhesa, communication credits for IT/ECZS officers [D+2].","{""summary"": ""Planned: provision of 2 additional vehicles, installation of Internet kit at Miti-Murhesa, communication credits for IT/ECZS officers [D+2].""}"
Mongbwalu,03-06-2026,"Official handover of 3 vehicles by the Governor to the CDPS Ituri; 2 assigned to Rwampara and Nyankunde HZs. Delivery of IPC supplies to Mambasa, Mandima, Niania and Mongbwalu. 25 vehicles and 4 ambulances made available. Fuel supply provided for field vehicles and HGR Bunia ambulance. Ongoing construction monitoring of ETC at HGR Bunia.","{""summary"": "" 25 vehicles and 4 ambulances made available . Fuel supply provided for field vehicles and HGR Bunia ambulance . Ongoing construction monitoring of ETC""}"
Beni,03-06-2026,Development of the supply distribution plan for inputs received in Beni.,"{""summary"": ""Development of the supply distribution plan for inputs received in Beni.""}"
Miti-Murhesa,03-06-2026,Advocacy for 2 additional vehicles and an Internet kit for Miti-Murhesa.,"{""summary"": ""Advocacy for 2 additional vehicles and an Internet kit for Miti-Murhesa.""}"
