nom,date,national_security_en,summary_json
DRC,31-05-2026,"The presence of armed groups in the territories of Djugu, Irumu, and Mambasa continues to limit humanitarian access in several affected or at-risk health zones.","{""summary"": "" Armed groups in the territories of Djugu, Irumu, and Mambasa""}"
DRC,01-06-2026,"The presence of armed groups in the territories of Djugu, Irumu, and Mambasa continues to limit humanitarian access in several affected or at-risk health zones.","{""summary"": "" Armed groups in the territories of Djugu, Irumu, and Mambasa""}"
DRC,02-06-2026,"The presence of armed groups in the territories of Djugu, Irumu, and Mambasa continues to limit humanitarian access in several affected or at-risk health zones. An SDB team was assaulted at Bunia cemetery, resulting in 5 response workers injured.","{""summary"": "" Armed groups in Djugu, Irumu, and Mambasa continue to limit humanitarian access in""}"
DRC,03-06-2026,A security briefing was provided for 19 experts who arrived from Kinshasa.,"{""summary"": ""A security briefing was provided for 19 experts who arrived from Kinshasa.""}"
DRC,01-07-2026,"Insecurity (CODECO, ADF) limiting access to high-risk zones. PERSPECTIVES: Strengthen security coordination and humanitarian access.","{""summary"": ""Insecurity (CODECO, ADF) limiting access to high-risk zones. PERSPECTIVES: Strengthen security coordination and humanitarian access.""}"
DRC,05-07-2026,"Security challenges include community resistance affecting response in Bunia; access limitations due to insecurity (CODECO, ADF) restricting operations in high-risk areas.","{""summary"": "" Security challenges include community resistance affecting response in Bunia . Access limitations due to insecurity (""}"
DRC,06-07-2026,"96 HCW cases including 19 deaths. Challenges: community resistance, insecurity (CODECO/ADF), staff strike in Bunia and Rwampara.","{""summary"": ""96 HCW cases including 19 deaths. Challenges: community resistance, insecurity (CODECO/ADF), staff strike in Bunia and Rwampara.""}"
DRC,08-07-2026,"CHALLENGES: Strikes of health providers in Bunia and Rwampara. Insecurity and limited access (CODECO, ADF). PERSPECTIVES: Strengthening security coordination and humanitarian access.","{""summary"": "" CHALLENGES: Strikes of health providers in Bunia and Rwampara .""}"
DRC,11-07-2026,No new major security incident reported in the consolidated presentation of 11 July 2026. Vigilance remains reinforced around PoE/PoC and treatment structures. Continued coordination with politico-administrative and security authorities to ensure response teams' access to high-risk areas.,"{""summary"": "" Vigilance remains reinforced around PoE/PoC and treatment structures . Continued coordination with politico""}"
DRC,13-07-2026,No major security incidents. Teams secured at PoC/PoE and EDS. CHALLENGES: Insecurity with CODECO/ADF restricts access. PERSPECTIVES: Enhance security coordination and humanitarian access.,"{""summary"": "" No major security incidents. Teams secured at PoC/PoE and EDS.""}"
