nom,date,security_en,zeroshot_json
Bunia,19-05-2026,Security situation relatively calm.,"{""class"": ""general instability"", ""score"": 0.3442}"
Bunia,20-05-2026,Security situation relatively calm.,"{""class"": ""general instability"", ""score"": 0.3442}"
Bunia,21-05-2026,Security situation relatively calm. Security briefing provided to deployed teams.,"{""class"": ""general instability"", ""score"": 0.4172}"
Bunia,22-05-2026,Security situation relatively calm. Security briefing provided to deployed teams.,"{""class"": ""general instability"", ""score"": 0.4172}"
Bunia,30-05-2026,"Relatively calm security situation in Bunia town and Rwampara Health Zone as of May 30, 2026.","{""class"": ""armed attack"", ""score"": 0.5272}"
Rwampara,30-05-2026,"Relatively calm security situation in Bunia town and Rwampara Health Zone as of May 30, 2026.","{""class"": ""armed attack"", ""score"": 0.5272}"
Bunia,31-05-2026,Security situation relatively calm in the city of Bunia (HZs Bunia and Rwampara).,"{""class"": ""armed attack"", ""score"": 0.4834}"
Rwampara,31-05-2026,Security situation relatively calm in the city of Bunia (HZs Bunia and Rwampara).,"{""class"": ""armed attack"", ""score"": 0.4834}"
Rwampara,02-06-2026,"Security situation relatively calm in the city of Bunia (HZs Bunia and Rwampara). However, presence of armed groups in the territories of Djugu, Irumu and Mambasa continues to limit humanitarian access in several affected or at-risk health zones. INCIDENT: SDB team assaulted at Bunia cemetery — 5 response workers injured.","{""class"": ""armed attack"", ""score"": 0.892}"
Nizi,02-06-2026,Security situation remains unstable in the health zones of Nizi and Bambu.,"{""class"": ""general instability"", ""score"": 0.6264}"
Bambu,02-06-2026,Security situation remains unstable in the health zones of Nizi and Bambu.,"{""class"": ""general instability"", ""score"": 0.6264}"
Katana,02-06-2026,"SERIOUS INCIDENT: Community attacked the SDB team at Katana, resulting in the abandonment of the coffin and handling of the body by the community. Major risk of new transmission chains created.","{""class"": ""armed attack"", ""score"": 0.5954}"
Katwa,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].,"{""class"": ""roadblock"", ""score"": 0.5195}"
Beni,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].,"{""class"": ""roadblock"", ""score"": 0.5195}"
Butembo,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].,"{""class"": ""roadblock"", ""score"": 0.5195}"
Oicha,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].,"{""class"": ""roadblock"", ""score"": 0.5195}"
Kalunguta,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].,"{""class"": ""roadblock"", ""score"": 0.5195}"
Kyondo,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].,"{""class"": ""roadblock"", ""score"": 0.5195}"
Goma,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].,"{""class"": ""roadblock"", ""score"": 0.5195}"
Bambu,03-06-2026,"Unstable security situation. Presence of armed groups in Djugu, Irumu and Mambasa territories limits humanitarian access.","{""class"": ""armed attack"", ""score"": 0.659}"
Nizi,03-06-2026,"Unstable security situation. Presence of armed groups in Djugu, Irumu and Mambasa territories limits humanitarian access.","{""class"": ""armed attack"", ""score"": 0.659}"
Katana,03-06-2026,"Major incident: Red Cross EDS team attacked, coffin abandoned, body handled by the community. Risk of new transmission chains.","{""class"": ""armed attack"", ""score"": 0.5123}"
Mongbwalu,03-06-2026,Youth uprising against response team; windshields of two vehicles (MSF and Red Cross) damaged by projectiles.,"{""class"": ""armed attack"", ""score"": 0.8236}"
